name,address,phone,website,rating,reviews,type
Le Petit Verdot,"Lalana S. Rahamefy, Antananarivo 101",020 22 392 34,,4.5,282,Restaurant français
La Plantation,Antananarivo,034 13 416 80,,4.5,280,Restaurant
LE PHARE D'IVANDRY,"Rue Andriantsihoarana Ratsimbazafy, Antananarivo",032 42 123 25,,4.5,92,Restaurant
l'Orient Asian Fusion Restaurant,"Antananarivo, Lalana Rainandriamampandry, 邮政编码: 101",034 36 788 88,,4.8,89,Restaurant de spécialités asiatiques
Bon Appetit,"Antananarivo, Lalana Pastora Rabeony Hans",,,4.4,5,Restaurant
Le Romazava,"4 rue de la Réunion, Antananarivo 101",032 05 070 00,,4.6,66,Restaurant
Nerone Ristorante Italiano (Madagascar),Antananarivo 101,034 67 859 46,,4.4,307,Restaurant italien
Restaurant Le CITIZEN,"Lalana Russie, Antananarivo",034 05 720 60,,4.5,244,Restaurant
Le Rossini,"Lalana Général Gabriel Ramanantsoa, Antananarivo 101",038 01 420 02,,4.2,164,Restaurant français
Restaurant marmity,"4GHC+XHV, Antananarivo",038 90 732 02,,5,1,Restaurant
Le Carnivore - Restaurant Bar Lounge,"66 Rue Ratsimilaho Ambatonakanga, Lalana Ranavalona III, Antananarivo 101",038 55 125 04,,4.1,237,Restaurant
La table au plafond,"2 Lalana Adrianary Ratianarivo, Antananarivo",032 79 924 13,,4.7,40,Bistro
Haka Fy Authentic Restaurant,"Jardin Historique d'Andohalo ANTANANARIVO, 101",034 07 162 06,,4.4,49,Restaurant
Mazotoa Vaovao,"I A 62, Antananarivo 101",038 46 001 07,,4.1,67,Restaurant
Restaurant Le B,"101 Avenue Arabe Rasoamanarivo, Antananarivo",020 22 316 86,,4.3,66,Restaurant
Le Kapoaka Restaurant,"4G57+HF7, Rue Docteur Joseph Raseta, Antananarivo",038 30 393 29,,5,5,Restaurant
A'TO Restaurant,"Lot II S 11 Antananarivo, 101",034 83 363 61,,5,1,Restaurant
Napolitz,Antananarivo 101,038 56 118 89,,4.6,23,Restaurant
Trinq'île RESTO,"Lot IVD 44 Tsiazotafo Antananarivo, 101",034 70 158 99,,4.4,8,Restaurant
L'Oriental Ivandry,"Ivandry Ambodivoanjo lot II I 161, Antananarivo 101",034 42 111 11,,4.3,152,Restaurant libanais
Restaurant La Toque Enchantée,"II Y 5A, Nord, 101 Lalana Vvs, Antananarivo",034 43 695 72,,4.1,70,Restaurant
La Compagnie des Voyageurs - Restaurant,"Lot II Ivandry JF Bis antananarivo, 101",034 08 130 30,,4.3,80,Restaurant
Restaurant O'Frais,"Mahazoarivo, Lot VR 54 JKB, Antananarivo 101",034 44 102 12,,5,1,Restaurant
Zébulon,"Palm garden, Rue Ambatobe Immeuble",038 40 938 51,,4.7,15,Restaurant
DRAGON ROYAL Restaurant,"Rue Me Albertini, Antananarivo",034 14 579 79,,4.4,29,Restaurant
Jardin de Vaniala (restaurant),Antananarivo,034 49 150 92,,4.5,27,Restaurant
Trio Restaurant & Bar NOVOTEL,"Lobby Enceinte Novotel, Antananarivo 101",020 23 777 77,,4.5,4,Restaurant
Restaurant Mandala,"3GQC+HG6, Lalana Raveloray, Antananarivo",038 64 077 24,,4.9,8,Restaurant
